id,city_id,title,street,address,zip_code,phone,hole,architect,year_built,public_private,guest_policy,credit_card,golf_season,range,rental_club,pro_in_House,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,lng,lat
7687,3622,Valleywood Golf Course,4851 125th St W,"Apple Valley, Minnesota 55124",55124,(612) 953-2324,18,Don Herfort,1975,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,71,6421,123,70.60,71,6116,121,68.90,72,5144,122,71.50,,
7688,3623,Island Pine Golf Club,1601 Wyoming Ave W,"Atwater, Minnesota 56209",56209,(320) 974-8600,18,Darin Kragenbring,1995,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,No,Yes,Yes,No,$,$,Yes,Yes,72,6850,117,71.90,72,6400,111,69.10,72,5300,114,69.00,,
7689,3624,Meadow Greens Golf Course,Mower County 25,"Austin, Minnesota 55912",55912,(507) 433-4878,18,Larry Grinstead,1993,Public,Open,None,Open: 3/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,69,5950,,,69,5420,,,69,4790,,,,
7690,3624,Austin Country Club,28th St NE,"Austin, Minnesota 55912",55912,(507) 433-7736,18,William H. Livie,1919,Private,Reciprocal,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,No,Yes,72,6520,127,71.30,72,6326,126,70.40,72,5425,128,71.30,,
7691,3624,Ramsey Golf Club,Rural Route 1,"Austin, Minnesota 55912",55912,(507) 433-9098,18,,1940,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,Yes,$,$,No,Yes,,,,,71,5987,118,67.60,72,5426,118,70.10,,
7692,3625,Babbitt Golf Course,2806 Hwy 21,"Babbitt, Minnesota 55706",55706,(218) 827-2603,9,,,Semi-Private,Open,None,Open: 5/01 Closed: 10/01,Yes,Yes,No,Yes,$,$,No,Yes,35,3183,117,34.70,35,3022,114,34.00,36,2824,116,35.70,,
7693,3626,Black Bear Golf Course,2898 16th St SW,"Backus, Minnesota 56435",56435,(218) 587-8800,9,Cal Bristow,1998,Public,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/15 Closed: 10/15,No,Yes,No,No,$,$,Yes,Yes,36,3346,125,35.50,36,3191,122,34.80,36,2565,110,34.40,,
7694,3627,Twin Pines Golf Course,Route 1,"Bagley, Minnesota 56621",56621,(218) 694-2454,9,,,Public,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,No,No,$,$,No,Yes,,,,,36,3162,,,38,2779,,,,
7695,3628,Willow Creek Municipal Golf Course,Route 1,"Barnesville, Minnesota 56514",56514,(218) 493-4486,9,,1962,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,No,$,$,Yes,Yes,36,2831,,,36,2783,,,36,2407,,,,
7696,3629,Balmoral Golf Course,Route 3,"Battle Lake, Minnesota 56515",56515,(218) 367-2055,18,Arnold Hemkuist,1961,Public,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/01 Closed: 10/15,No,Yes,No,No,$,$,Yes,Yes,72,6144,120,69.30,72,6004,119,68.70,72,5372,120,71.20,,
7697,3630,Oak Harbor Golf Course,Rural Route 1,"Baudette, Minnesota 56623",56623,(218) 634-9939,9,,1964,Semi-Private,Open,None,Open: 4/01 Closed: 10/30,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,36,3241,127,38.10,37,2733,115,35.30,,
7698,3631,Pine Meadows Golf Course,500 Golf Course Dr,"Baxter, Minnesota 56425",56425,(218) 829-5733,18,,1920,Semi-Private,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6372,130,71.50,72,5929,127,69.50,72,4749,124,68.30,,
7699,3632,White/Blue at Pebble Creek Country Club,14000 Club House Dr,"Becker, Minnesota 55308",55308,(612) 261-4653,9,Don Herfort &amp; Garrett Gill,1995,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,36,3360,126,36.10,36,3100,121,34.80,36,2765,126,35.30,,
7700,3632,Blue/Red at Pebble Creek Country Club,14000 Club House Dr,"Becker, Minnesota 55308",55308,(612) 261-4653,9,Don Herfort &amp; Garrett Gill,1995,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,36,3297,129,72.40,36,2969,124,70.10,36,2539,125,71.10,,
7701,3632,Red/White at Pebble Creek Country Club,14000 Club House Dr,"Becker, Minnesota 55308",55308,(612) 261-4653,9,Don Herfort,1987,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,36,3460,129,36.60,36,3255,125,35.55,36,2835,126,36.45,,
7702,3633,Valley View Golf Club,23795 Laredo Ave,"Belle Plaine, Minnesota 56011",56011,(612) 873-4653,18,"S&amp;H Golf, Inc.",1992,Semi-Private,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,70,6301,121,70.10,71,5962,117,68.50,71,4921,113,68.40,,
7703,3634,Greenwood Golf Course,1361 Swenson Rd NE,"Bemidji, Minnesota 56601",56601,(218) 751-3875,18,,1975,Public,Open,None,Open: 4/15 Closed: 10/15,Yes,Yes,No,Yes,$,$,No,No,,,,,58,3008,,,58,3008,,,,
7704,3634,Maple Ridge Golf Course,Route 10,"Bemidji, Minnesota 56601",56601,(218) 751-8401,9,,1995,Public,Open,"VISA, MasterCard Welcomed",Open: 4/15 Closed: 10/15,Yes,Yes,No,Yes,$,$,Yes,Yes,32,2133,,,32,1936,,,32,1676,,,,
7705,3634,Bemidji Town & Country Club,Birchmont Beach Rd,"Bemidji, Minnesota 56601",56601,(218) 751-9215,18,,1900,Semi-Private,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,No,Yes,No,$,$,Yes,Yes,72,6535,127,71.80,72,6210,124,70.30,72,5058,120,69.10,,
7706,3634,Castle Highlands Golf Course,Route 5,"Bemidji, Minnesota 56601",56601,(218) 586-2681,18,Ray Castle,1970,Semi-Private,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,Yes,$,$,Yes,Yes,70,5246,111,65.80,70,5124,110,65.20,70,4448,112,65.50,,
7707,3635,Benson Golf Club,2222 Atlantic Ave,"Benson, Minnesota 56215",56215,(320) 842-7901,18,,1925,Public,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6360,129,70.70,72,6059,126,69.50,72,4853,116,68.60,,
7708,3636,Edge of the Wilderness Golf Course,1 mile E of Bigfork,"Bigfork, Minnesota 56628",56628,(218) 743-3626,9,,1991,Semi-Private,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,36,3019,104,33.70,36,2963,104,33.40,38,2685,110,34.70,,
7709,3637,Carefree Country Club,12055 185th Ave SE,"Big Lake, Minnesota 55309",55309,(612) 263-6050,18,,1982,Private,Closed,None,Open: 4/15 Closed: 10/15,No,No,No,Yes,$,$,No,No,,,,,60,3892,88,59.20,62,3536,89,60.10,,
7710,3638,Giants Ridge Golf & Ski Resort,County Rd 138,"Biwabik, Minnesota 55708",55708,(218) 865-4143,18,Jeff Brauer &amp; Lanny Wadkins,1997,Resort,Open,"VISA, MasterCard, Amex Welcomed",Open: 5/01 Closed: 10/18,Yes,Yes,Yes,No,$$,$$,Yes,Included in fee,,,,,72,6930,,,72,6112,,,,
7711,3639,Blackduck Municipal Golf Course,Lake Rd,"Blackduck, Minnesota 56630",56630,(218) 835-7757,9,,1930,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,No,Yes,No,No,$,$,Yes,Yes,,,,,36,3029,101,34.00,38,2678,114,36.40,,
7712,3640,Blooming Prairie Country Club,Hwy 218 No,"Blooming Prairie, Minnesota 55917",55917,(507) 583-2887,9,,1970,Semi-Private,Open,None,Open: 4/01 Closed: 10/15,No,Yes,No,No,$,$,No,Yes,36,3026,121,34.30,36,2849,,,37,2554,113,34.80,,
7713,3641,The Short at Hyland Greens Golf Course,10100 Normandale Blvd,"Bloomington, Minnesota 55437",55437,(612) 948-8868,9,,1980,Public,Open,None,Open: 4/01 Closed: 11/01,Yes,No,Yes,No,$,$,Yes,Yes,,,,,27,1159,,,27,1159,,,,
7714,3641,Dwan Golf Club,3301 W 110th St,"Bloomington, Minnesota 55431",55431,(612) 948-8702,18,David Gill,1970,Public,Open,None,Open: 4/01 Closed: 10/15,No,No,Yes,No,$,$,Yes,Yes,68,5485,110,64.80,68,5275,108,64.40,68,4518,108,65.00,,
7715,3641,The Long at Hyland Greens Golf Course,10100 Normandale Blvd,"Bloomington, Minnesota 55437",55437,(612) 948-8868,9,,1980,Public,Open,None,Open: 4/01 Closed: 11/01,Yes,No,Yes,No,$,$,Yes,Yes,,,,,27,1438,,,27,1438,,,,
7716,3641,Minnesota Valley Country Club,6300 Auto Club Rd,"Bloomington, Minnesota 55438",55438,(612) 884-1744,18,,1910,Private,Closed,"VISA, MasterCard, Amex Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$$,$$,Yes,Yes,73,6755,139,73.80,73,6368,132,71.20,74,5254,126,70.30,,
7717,3642,Pine Beach West at Madden's on Gull Lake,11266 Pine Beach Peninsula,"Brainerd, Minnesota 56401",56401,(218) 829-2811,18,Paul N. Coates,1955,Resort,Open,"VISA, MasterCard Welcomed",Open: 4/21 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,67,5070,103,64.00,67,4478,107,66.70,,
7718,3642,Social Nine at Madden's on Gull Lake,11266 Pine Beach Peninsula,"Brainerd, Minnesota 56401",56401,(218) 829-2811,9,Jim Madden,1965,Resort,Open,"VISA, MasterCard Welcomed",Open: 4/21 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,28,1341,,,28,1341,,,,
7719,3642,The Classic at Madden's on Gull Lake,11266 Pine Beach Peninsula,"Brainerd, Minnesota 56401",56401,(218) 829-2811,18,Chris Foley,1996,Resort,Open,"VISA, MasterCard Welcomed",Open: 4/21 Closed: 11/01,Yes,Yes,Yes,No,$$,$$,Yes,Yes,72,7109,139,75.30,72,6709,137,73.30,72,5840,134,74.50,,
7720,3642,"One/Two at Legacy Courses at Craguns, The",11000 Craguns Dr,"Brainerd, Minnesota 56401",56401,(218) 855-0915,18,"Robert Trent Jones, Jr.",1998,Resort,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 10/15,Yes,Yes,Yes,No,$$,$$$,Yes,Included in fee,72,6879,145,73.70,72,6373,140,71.50,72,5250,131,71.20,,
7721,3642,"One/Three at Legacy Courses at Craguns, The",11000 Craguns Dr,"Brainerd, Minnesota 56401",56401,(218) 855-0915,18,"Robert Trent Jones, Jr.",1999,Resort,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 10/15,Yes,Yes,Yes,No,$$,$$$,Yes,Included in fee,72,6689,145,73.70,72,6149,140,71.50,72,4910,131,71.20,,
7722,3642,"Two/Three at Legacy Courses at Craguns, The",11000 Craguns Dr,"Brainerd, Minnesota 56401",56401,(218) 855-0915,18,"Robert Trent Jones, Jr.",1999,Resort,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 10/15,Yes,Yes,Yes,No,$$,$$$,Yes,Included in fee,72,6784,145,73.70,72,6296,140,71.50,72,5118,131,71.20,,
7723,3642,Pine Beach East at Madden's on Gull Lake,11266 Pine Beach Peninsula,"Brainerd, Minnesota 56401",56401,(218) 829-2811,18,James Dalgleish,1926,Resort,Open,"VISA, MasterCard Welcomed",Open: 4/21 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,72,5956,111,67.90,72,5353,116,70.90,,
7724,3643,Traditional at Breezy Point Golf Course,Hwy 11 Breezy Point Resort,"Breezy Point, Minnesota 56472",56472,(800) 950-4961,18,,1924,Resort,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,68,5192,114,62.90,72,5127,111,65.50,,
7725,3643,Deacon's Lodge,HC 83 Weavers Point Rd,"Breezy Point, Minnesota 56472",56472,(218) 562-6262,18,Palmer Course Design Co.,1999,Public,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/15 Closed: 10/24,Yes,Yes,Yes,No,$$,$$,Yes,Yes,72,6964,128,73.80,72,6541,124,71.90,72,4766,114,67.60,,
7726,3643,White Birch at Breezy Point Golf Course,Hwy 11 Breezy Point Resort,"Breezy Point, Minnesota 56472",56472,(800) 950-4961,18,,1930,Resort,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6342,115,70.60,72,5852,112,68.80,71,4711,123,72.80,,
7727,3644,Centerbrook Golf Course,5500 N Lilac Dr,"Brooklyn Center, Minnesota 55430",55430,(612) 561-3239,9,Donald G. Brauer &amp; Paul S. Fjare,1971,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,No,$,$,Yes,Yes,27,1497,,,27,1389,,,28,1299,,,,
7728,3645,Brookland Executive Nine Golf Course,8232 Regent Ave No,"Brooklyn Park, Minnesota 55443",55443,(612) 561-3850,9,,1960,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,Yes,$,$,Yes,Yes,,,,,30,1849,85,29.50,30,1701,89,30.30,,
7729,3645,Edinburgh USA Golf Course,8700 Edinbrook Crossing,"Brooklyn Park, Minnesota 55443",55443,(612) 424-7060,18,"Robert Trent Jones, Jr.",1987,Public,Open,"VISA, MasterCard, Amex Welcomed",Open: 4/15 Closed: 11/01,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,6727,141,73.10,72,6335,137,71.30,72,5255,129,70.90,,
7730,3646,Prairie View Community Golf,1000 Crow Lake St,"Brooten, Minnesota 56316",56316,(320) 346-2677,9,J. B. Ammons,1990,Semi-Private,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,,,,,36,3078,119,34.40,36,2662,122,34.50,,
7731,3647,Buffalo Heights Golf Course,905 Hwy 25 S,"Buffalo, Minnesota 55313",55313,(612) 682-2854,9,,1932,Semi-Private,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 11/01,No,Yes,Yes,Yes,$,$,Yes,Yes,,,,,35,3192,123,35.30,37,2610,119,35.20,,
7732,3648,Oakdale Country Club,Route 2,"Buffalo Lake, Minnesota 55314",55314,(320) 833-5518,18,,1975,Semi-Private,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6627,115,70.30,72,6372,112,69.10,72,5233,113,68.40,,
7733,3649,Birnamwood Public Golf Course,12424 Parkwood Dr,"Burnsville, Minnesota 55337",55337,(612) 707-6393,9,Don Herfort,1969,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,No,$,$,Yes,Yes,,,,,27,1267,,,27,1267,,,,
7734,3649,Orchard Gardens Golf Course,1020 W 155th St,"Burnsville, Minnesota 55306",55306,(612) 435-5771,9,Martin Auto,1967,Semi-Private,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,,,,,27,1570,74,,30,1570,74,,,
7735,3650,Macal Grove Country Club,Hwy 44,"Caledonia, Minnesota 55921",55921,(507) 724-2733,9,,1961,Semi-Private,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,36,3203,,,36,3111,,,38,2868,,,,
7736,3651,Purple Hawk Country Club,Hwy 65,"Cambridge, Minnesota 55008",55008,(612) 689-3800,18,Don Herfort,1969,Semi-Private,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6680,132,72.30,72,6353,129,70.90,74,5748,131,73.50,,
7737,3652,Canby Golf Club,Rural Route 3,"Canby, Minnesota 56220",56220,(507) 223-5607,9,,,Semi-Private,Open,None,Open: 4/01 Closed: 10/31,Yes,Yes,No,No,$,$,No,Yes,,,,,36,3275,,,36,2728,,,,
7738,3653,The Lynx at Elmdale Hills Golf Course,26161 Nicoali Ave,"Cannon Falls, Minnesota 55009",55009,(507) 263-2507,9,Gordon Emerson,1995,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,Yes,No,$,$,Yes,Yes,30,1985,84,28.90,30,1869,82,28.30,30,1608,81,28.50,,
7739,3653,The Tiger at Elmdale Hills Golf Course,26161 Nicoali Ave,"Cannon Falls, Minnesota 55009",55009,(507) 263-2507,18,,1999,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,Yes,No,$,$,Yes,Yes,73,6330,123,72.20,73,5995,118,70.10,73,4913,111,68.70,,
7740,3653,Cannon Golf Club,8606 295th St E,"Cannon Falls, Minnesota 55009",55009,(507) 263-3126,18,Joel Goldstrand,1990,Semi-Private,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,71,6157,127,69.50,71,5843,125,68.40,71,4988,125,70.10,,
7741,3654,Pine Hill Golf Club,1689 County Rd 61,"Carlton, Minnesota 55718",55718,(218) 384-3727,9,Bob Kelley,1996,Public,Open,None,Open: 4/15 Closed: 10/15,No,Yes,No,No,$,$,Yes,Yes,,,,,31,2000,95,29.10,30,1500,78,28.00,,
7742,3655,Sandtrap Golf Course,Route 3,"Cass Lake, Minnesota 56633",56633,(218) 335-6531,9,,1944,Public,Open,None,Open: 4/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,,,,,36,3019,,,36,3019,,,,
7743,3656,Woods at Viking Meadows Golf Club,1788 Viking Blvd NE,"Cedar, Minnesota 55011",55011,(612) 434-4205,9,,1999,Public,Open,"VISA, MasterCard Welcomed",Open: 3/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,,,,,30,1655,93,28.50,30,1554,89,29.60,,
7744,3656,Hidden Haven Country Club,20520 NE Polk St,"Cedar, Minnesota 55011",55011,(612) 434-6867,18,Mike Krogstad,1988,Semi-Private,Open,"VISA, MasterCard, Discover Welcomed",Open: 4/01 Closed: 11/01,No,Yes,Yes,No,$,$,Yes,Yes,,,,,71,5806,119,67.70,71,4999,111,64.10,,
7745,3656,Meadows at Viking Meadows Golf Club,1788 Viking Blvd NE,"Cedar, Minnesota 55011",55011,(612) 434-4205,18,,1987,Public,Open,"VISA, MasterCard Welcomed",Open: 3/01 Closed: 11/01,Yes,Yes,No,No,$,$,Yes,Yes,72,6364,124,70.60,72,6138,122,69.60,73,5534,121,71.40,,
7746,3657,Chaska Town Course,3000 Town Course Dr,"Chaska, Minnesota 55318",55318,(612) 443-3748,18,Arthur Hills,1997,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/02,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6817,125,73.40,72,6382,121,71.40,72,4853,112,69.00,,
7747,3657,Bluff Creek Golf Course,1025 Creekwood St,"Chaska, Minnesota 55318",55318,(612) 445-5685,18,,1968,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,No,Yes,$,$,Yes,Yes,70,6359,119,70.40,70,6234,118,69.80,76,5785,125,73.20,,
7748,3657,Chaska Par da,1207 Hazeltine Blvd,"Chaska, Minnesota 55318",55318,(612) 448-7454,9,,1970,Public,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,No,$,$,No,No,,,,,30,1648,,,30,1436,,,,
7749,3657,Dahlgreen Golf Club,6940 Dahlgreen Rd,"Chaska, Minnesota 55318",55318,(612) 448-7463,18,Gerry Pirkl &amp; Donald Brauer,1968,Semi-Private,Open,"VISA, MasterCard, Amex, Discover Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6761,132,72.40,72,6527,130,71.40,72,5108,124,70.40,,
7750,3657,Hazeltine National Golf Club,1900 Hazeltine Blvd,"Chaska, Minnesota 55318",55318,(612) 448-4500,18,"Robert Trent Jones, Sr.",1962,Private,Closed,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$$,$$,Yes,Yes,72,7010,144,74.70,72,6204,137,71.00,72,5700,134,74.00,,
7751,3658,Chosen Valley Country Club,1801 Main St S,"Chatfield, Minnesota 55923",55923,(507) 867-4305,9,,1930,Semi-Private,Open,None,year round,No,Yes,No,No,$,$,No,Yes,,,,,35,2933,109,33.40,35,2605,109,34.40,,
7752,3659,KateHaven Golf Course,8791 Lexington Ave NE,"Circle Pines, Minnesota 55014",55014,(612) 786-2945,9,University of Minnesota,1981,Public,Open,"VISA, MasterCard Welcomed",Open: 4/01 Closed: 11/01,No,Yes,No,Yes,$,$,Yes,Yes,,,,,30,1695,80,27.90,27,1302,76,26.90,,
7753,3659,Chomonix Golf Course,646 Sandpiper Dr,"Circle Pines, Minnesota 55014",55014,(651) 482-8484,18,Don Herfort,1970,Public,Open,MasterCard Welcomed,Open: 4/01 Closed: 11/01,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6586,128,72.20,72,6325,125,70.90,72,5445,125,72.30,,
7754,3660,Clarks Grove Golf Course,Old Hwy 65,"Clarks Grove, Minnesota 56016",56016,(507) 256-7737,9,,1975,Semi-Private,Open,None,Open: 4/01 Closed: 11/01,No,Yes,No,Yes,$,$,No,No,,,,,30,1566,98,26.80,30,1566,101,28.00,,
