course_id,city_id,course,street,address,zip_code,phone,hole,architect,year_built,public_private,guest_policy,credit_card,golf_season,range,rental_club,pro_in_House,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,lng,lat,state_id,city_title,city_count,city_slug,state,state_count,state_slug,c_city,city
51,16,Shoal Creek Golf Club,100 New Williamsburg Dr,"Birmingham, Alabama 35242",35242,(205) 991-9001,18,Jack Nicklaus,1976,Private,Closed,None,year round,Yes,Yes,Yes,No,$$,$$,No,Yes,72,7114,133,74.20,72,6779,131,72.70,72,5099,127,71.70,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
52,16,West at Country Club of Birmingham,1 New Country Club Rd,"Birmingham, Alabama 35213",35213,(205) 879-4611,18,Donald Ross,1929,Private,Closed,None,year round,Yes,Yes,Yes,No,$,$,Yes,Yes,71,6948,131,73.90,71,6779,129,72.70,71,5736,119,67.60,,,1,Birmingham,21,birmingham,Alabama,272,alabama,Birmingham,Birmingham
55,19,Country Club of Brewton,700 Club House Dr,"Brewton, Alabama 36426",36426,(334) 867-4100,18,Jerry Pate,1997,Semi-Private,Open,"VISA, MasterCard Accepted",year round,Yes,No,Yes,Yes,$,$,No,Yes,72,7019,133,73.70,72,6581,128,71.60,72,5328,115,69.40,,,1,Brewton,1,brewton,Alabama,272,alabama,Brewton,Brewton
61,25,Cherokee Country Club,Hwy 9 S,"Centre, Alabama 35960",35960,(256) 927-5070,18,,1969,Semi-Private,Open,None,year round,Yes,Yes,Yes,No,$,$,Yes,Yes,71,6195,119,68.40,71,5531,115,66.30,72,4709,106,61.80,,,1,Centre,1,centre,Alabama,272,alabama,Centre,Centre
63,27,Deerfield Golf Club,Hwy 56 E,"Chatom, Alabama 36518",36518,(334) 847-2056,18,,1993,Semi-Private,Open,"VISA, MasterCard Accepted",year round,Yes,Yes,No,Yes,$,$,Yes,Included in fee,72,6129,114,69.10,72,5923,110,68.30,72,4650,109,65.90,,,1,Chatom,1,chatom,Alabama,272,alabama,Chatom,Chatom
64,28,Citronelle Municipal Golf Course,18350 Lakeview Dr,"Citronelle, Alabama 36522",36522,(334) 866-7881,18,,1975,Public,Open,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,71,6271,126,70.00,71,5916,123,68.50,71,5201,116,69.40,,,1,Citronelle,1,citronelle,Alabama,272,alabama,Citronelle,Citronelle
67,30,Coosa Pines Golf Club,17589 Plant Rd,"Coosa Pines, Alabama 35044",35044,(256) 378-5529,18,,,Private,Reciprocal,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Included in fee,72,6351,116,69.20,72,6000,113,67.80,72,5291,113,69.50,,,1,Coosa Pines,1,coosapines,Alabama,272,alabama,Coosa Pines,Coosa Pines
69,32,Chesley Oaks Golf Club,1035 County Rd 1583,"Cullman, Alabama 35058",35058,(256) 796-9808,18,Steve Plummer,1996,Public,Open,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,71,6738,113,71.00,71,6152,106,68.30,71,4981,107,68.20,,,1,Cullman,2,cullman,Alabama,272,alabama,Cullman,Cullman
70,32,Terri Pines Country Club,700 Pine Hill Dr,"Cullman, Alabama 35057",35057,(256) 739-0720,18,Tom Jackson,1980,Private,Reciprocal,None,year round,Yes,No,Yes,No,$,$,Yes,Yes,72,6421,127,70.20,72,5877,122,67.70,71,4780,123,68.10,,,1,Cullman,2,cullman,Alabama,272,alabama,Cullman,Cullman
71,33,Tradition at Still Waters Resort,161 Harbor Dr,"Dadeville, Alabama 36853",36853,(256) 825-7021,18,Kurt Sandness,1997,Resort,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$$,$$,Yes,Included in fee,72,6906,139,73.50,72,6519,137,71.70,72,5048,126,69.50,,,1,Dadeville,2,dadeville,Alabama,272,alabama,Dadeville,Dadeville
72,33,Legend at Still Waters Resort,161 Harbor Dr,"Dadeville, Alabama 36853",36853,(256) 825-7021,18,George Cobb,1972,Resort,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$$,$$,Yes,Included in fee,72,6407,129,70.80,72,5916,116,69.10,72,5287,126,71.10,,,1,Dadeville,2,dadeville,Alabama,272,alabama,Dadeville,Dadeville
73,34,Magnolia/Dogwood at TimberCreek Golf Club,9650 Timbercreek Blvd,"Daphne, Alabama 36527",36527,,18,Earl Stone,1993,Semi-Private,Open,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Included in fee,72,7062,144,73.80,72,6545,135,71.00,72,4885,106,66.70,,,1,Daphne,5,daphne,Alabama,272,alabama,Daphne,Daphne
75,34,Dogwood/Pines at TimberCreek Golf Club,9650 Timbercreek Blvd,"Daphne, Alabama 36527",36527,(334) 621-9900,18,Earl Stone,1993,Semi-Private,Open,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Included in fee,72,6928,137,72.90,72,6493,131,71.00,72,4911,105,66.70,,,1,Daphne,5,daphne,Alabama,272,alabama,Daphne,Daphne
76,34,Pines/Magnolia at TimberCreek Golf Club,9650 Timbercreek Blvd,"Daphne, Alabama 36527",36527,(334) 621-9900,18,Earl Stone,1993,Semi-Private,Open,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Included in fee,72,7090,143,74.30,72,6596,136,71.60,72,4990,107,67.80,,,1,Daphne,5,daphne,Alabama,272,alabama,Daphne,Daphne
77,34,Forest at Lake Forest Yacht & Country Club,1 Golf Terrace,"Daphne, Alabama 36526",36526,(334) 626-9324,18,,1969,Private,Closed,"VISA, MasterCard Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6435,131,71.20,72,6103,126,70.40,72,5207,122,71.80,,,1,Daphne,5,daphne,Alabama,272,alabama,Daphne,Daphne
78,35,Isle Dauphine Golf Club,100 Orleans Dr,"Dauphin Island, Alabama 36528",36528,(334) 861-2433,18,Charles Maddox,1962,Semi-Private,Open,"VISA, MasterCard Accepted",year round,No,Yes,Yes,Yes,$,$,Yes,Yes,72,6620,123,70.80,72,6300,120,69.50,72,5619,122,72.60,,,1,Dauphin Island,1,dauphinisland,Alabama,272,alabama,Dauphin Island,Dauphin Island
81,36,Burningtree Country Club,2521 Burningtree Dr SE,"Decatur, Alabama 35603",35603,(256) 355-5982,18,George Cobb,1964,Private,Reciprocal,None,year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,7001,125,72.80,72,6358,119,69.90,73,5507,122,72.30,,,1,Decatur,5,decatur,Alabama,272,alabama,Decatur,Decatur
82,36,Decatur Country Club,2401 Country Club Rd SE,"Decatur, Alabama 35601",35601,(256) 353-3039,18,Gary Baird,1943,Private,Reciprocal,None,year round,Yes,No,Yes,No,$,$,Yes,Yes,71,6043,122,69.20,71,5801,120,68.10,71,4893,123,68.60,,,1,Decatur,5,decatur,Alabama,272,alabama,Decatur,Decatur
83,36,Point Mallard Golf Course,1800 Point Mallard Dr SE,"Decatur, Alabama 35601",35601,(256) 351-7776,18,,1969,Public,Open,"VISA, MasterCard Accepted",year round,No,Yes,Yes,Yes,$,$,Yes,Yes,72,6988,115,72.20,72,6419,113,69.30,72,5303,115,69.90,,,1,Decatur,5,decatur,Alabama,272,alabama,Decatur,Decatur
86,38,Highlands/Marshwood at Highland Oaks Golf Course,904 Royal Pkwy,"Dothan, Alabama 36305",36305,(334) 712-2820,18,"Robert Trent Jones, Sr.",1993,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$$,$$,Yes,Included in fee,72,7704,138,76.90,72,7072,133,73.90,72,5085,123,68.30,,,1,Dothan,7,dothan,Alabama,272,alabama,Dothan,Dothan
87,38,Marshwood/Magnolia at Highland Oaks Golf Course,904 Royal Pkwy,"Dothan, Alabama 36305",36305,(334) 712-2820,18,"Robert Trent Jones, Sr.",1993,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$$,$$,Yes,Included in fee,72,7511,133,75.70,72,6896,127,72.90,72,5002,116,67.30,,,1,Dothan,7,dothan,Alabama,272,alabama,Dothan,Dothan
89,38,Dothan Country Club,200 S Cherokee Ave,"Dothan, Alabama 36301",36301,(334) 792-8255,18,Hugh Moore,1960,Private,Reciprocal,None,year round,Yes,No,Yes,Yes,$,$,Yes,Yes,71,6403,126,70.30,71,6133,121,68.00,72,5172,123,69.50,,,1,Dothan,7,dothan,Alabama,272,alabama,Dothan,Dothan
91,38,Magnolia/Highlands at Highland Oaks Golf Course,904 Royal Pkwy,"Dothan, Alabama 36305",36305,(334) 712-2820,18,"Robert Trent Jones, Sr.",1993,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$$,$$,Yes,Included in fee,72,7591,135,76.00,72,6984,130,73.20,72,5025,119,67.60,,,1,Dothan,7,dothan,Alabama,272,alabama,Dothan,Dothan
98,43,Red Eagle Golf Course,101 Merion Dr,"Eufaula, Alabama 36027",36027,(334) 687-8003,18,Denis Griffiths,1986,Semi-Private,Open,"VISA, MasterCard Accepted",year round,Yes,No,Yes,Yes,$,$,Yes,Included in fee,72,6566,124,71.40,72,6158,120,69.50,72,5415,109,69.90,,,1,Eufaula,3,eufaula,Alabama,272,alabama,Eufaula,Eufaula
99,43,Eufaula Country Club,2650 Country Club Rd,"Eufaula, Alabama 36027",36027,(334) 687-2007,18,,1916,Private,Reciprocal,"VISA, MasterCard, Discover Accepted",year round,Yes,No,No,No,$,$,No,Yes,72,6456,128,70.40,72,6087,124,68.30,72,4810,113,62.90,,,1,Eufaula,3,eufaula,Alabama,272,alabama,Eufaula,Eufaula
100,43,Lakepoint Resort Golf Course,Route 2,"Eufaula, Alabama 36027",36027,(334) 687-6676,18,Thomas H. Nicol,1960,Resort,Open,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,6752,123,73.60,72,6531,121,71.40,72,5363,118,69.20,,,1,Eufaula,3,eufaula,Alabama,272,alabama,Eufaula,Eufaula
102,45,Rock Creek Golf Club,140 Clubhouse Dr,"Fairhope, Alabama 36532",36532,,18,Earl Stone,1993,Semi-Private,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$$,$$,Yes,Included in fee,72,6920,129,72.20,72,6322,124,69.50,72,5135,117,68.40,,,1,Fairhope,2,fairhope,Alabama,272,alabama,Fairhope,Fairhope
103,45,Quail Creek Golf Course,19841 Quail Creek Dr,"Fairhope, Alabama 36532",36532,,18,Barney Shull,1988,Public,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,6426,112,70.10,72,6205,110,69.10,72,5305,114,69.60,,,1,Fairhope,2,fairhope,Alabama,272,alabama,Fairhope,Fairhope
105,47,Dogwood Hills Golf Club,26460 Alabama Hwy 71,"Flat Rock, Alabama 35966",35966,(256) 632-3634,18,Bryce Slater,1977,Public,Open,"VISA, MasterCard, Discover Accepted",year round,Yes,No,No,No,$,$,Yes,Included in fee,72,6463,115,69.70,72,6054,111,67.70,72,5029,102,63.70,,,1,Flat Rock,1,flatrock,Alabama,272,alabama,Flat Rock,Flat Rock
106,48,Florence Golf & Country Club,450 Country Club Dr,"Florence, Alabama 35630",35630,(256) 766-1427,18,,1927,Private,Reciprocal,None,year round,Yes,No,Yes,No,$,$,No,Yes,71,6048,113,68.70,71,5823,110,67.30,71,5411,117,70.60,,,1,Florence,3,florence,Alabama,272,alabama,Florence,Florence
107,48,McFarland Park Golf Course,200 James M Spain Dr,"Florence, Alabama 35630",35630,(256) 760-6428,18,Earl Stone,1972,Public,Open,"VISA, MasterCard Accepted",Open: 4/01 Closed: 11/01,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,6660,113,71.00,72,6386,107,68.00,72,5741,106,67.50,,,1,Florence,3,florence,Alabama,272,alabama,Florence,Florence
109,49,Lakes at Glenlakes Golf Club,9530 Clubhouse Dr,"Foley, Alabama 36535",36535,,9,Bobby Miller,1994,Semi-Private,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Included in fee,35,3065,121,34.00,35,2861,117,33.00,35,2336,119,33.10,,,1,Foley,3,foley,Alabama,272,alabama,Foley,Foley
111,49,Dunes at Glenlakes Golf Club,9530 Clubhouse Dr,"Foley, Alabama 36535",36535,,18,Bruce Devlin,1984,Semi-Private,Open,"VISA, MasterCard, Amex, Discover Accepted",year round,Yes,Yes,Yes,No,$$,$$,Yes,Included in fee,72,6938,122,72.20,72,6343,117,69.60,72,5384,115,70.50,,,1,Foley,3,foley,Alabama,272,alabama,Foley,Foley
112,50,Cane Creek Golf Course,Bldg 2250,"Fort McClellan, Alabama 36205",36205,(256) 820-9174,18,George Cobb,1942,Public,Open,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,Yes,$,$,Yes,Yes,72,7064,123,73.00,72,6460,121,70.00,72,5168,120,69.00,,,1,Fort McClellan,1,fortmcclellan,Alabama,272,alabama,Fort McClellan,Fort McClellan
114,51,Terrapin Hills Country Club,5501 Club Dr,"Fort Payne, Alabama 35967",35967,(256) 845-4624,18,Harold Williams,1970,Private,Reciprocal,"VISA, MasterCard, Amex Accepted",year round,Yes,No,No,No,$,$,Yes,Yes,71,6696,118,69.20,71,6133,114,67.50,71,5278,119,68.50,,,1,Fort Payne,2,fortpayne,Alabama,272,alabama,Fort Payne,Fort Payne
115,52,White/Blue at Silver Wings Golf Course,Bldg 20067,"Fort Rucker, Alabama 36362",36362,(334) 598-2449,18,,,Military,Reciprocal,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6863,124,72.30,72,6467,123,70.50,72,5359,118,70.00,,,1,Fort Rucker,3,fortrucker,Alabama,272,alabama,Fort Rucker,Fort Rucker
116,52,Blue/Red at Silver Wings Golf Course,Bldg 20067,"Fort Rucker, Alabama 36362",36362,(334) 598-2449,18,,,Military,Reciprocal,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6858,119,71.80,72,6507,115,70.30,72,5527,118,70.60,,,1,Fort Rucker,3,fortrucker,Alabama,272,alabama,Fort Rucker,Fort Rucker
117,52,Red/White at Silver Wings Golf Course,Bldg 20067,"Fort Rucker, Alabama 36362",36362,(334) 598-2449,18,,1991,Military,Reciprocal,"VISA, MasterCard, Amex Accepted",year round,Yes,Yes,Yes,No,$,$,Yes,Yes,72,6919,116,72.10,72,6586,116,70.00,72,5706,118,71.60,,,1,Fort Rucker,3,fortrucker,Alabama,272,alabama,Fort Rucker,Fort Rucker
118,53,Gadsden Country Club,1884 Rainbow Dr,"Gadsden, Alabama 35901",35901,(256) 546-0451,18,,1919,Private,Reciprocal,None,year round,Yes,No,Yes,No,$,$,No,Yes,72,6575,134,72.30,72,6073,130,69.70,72,4884,113,68.50,,,1,Gadsden,2,gadsden,Alabama,272,alabama,Gadsden,Gadsden
